c05d1534-ede0-4d6b-9b26-abac35174354,Medine Karaalın,,,,
5c01d641-1aa6-4623-8ef4-81390e20e25e,Osman Ziyagil,,,,
c4a35aab-7035-4fda-ba2b-b47c00d5d36a,Necati Tokyay,,,,
b53c14c8-1ba5-446a-b2f8-f45c2883d6d4,Halil Can,,,,
b1e00ce8-97e0-4173-8e93-cfa7f3d3ea56,Anatolia,Group,,,
ffe17e1f-324e-4856-9d78-d8b5b119b402,Eray Mescioğlu,,,,
292bf429-b841-4395-9629-6fcff20b9962,Şeyh Ramazan,,,,
b9f68cb6-0fb4-438a-8abc-0a4dce718050,Ayhan Bal,,,,
e236d1d6-3ff7-46f8-bc58-51095d801fb9,İbrahim Hakkı Erzurumi,,,,
dc886aa6-044b-4737-9498-caf65944570c,Udi Neşet Bey,,,,
ca177084-1869-49f8-b81f-3df401b05b50,İstanbul Senfonisi,Group,,,
3cd3882c-00f8-4362-a0c2-ad89ed248533,Robert Schumann,"?, Germany",,,
f1c84d39-4151-40d4-94ce-4211fd670117,Ahmet Gazi Ayhan,,,,
6a1f9f25-0255-4341-9485-e88a5ba08053,Fahire Fersan,,,,
848cfeeb-0d8f-4b8b-9cb8-c735ef08a4d2,Gülnaz Ataman,,,,
07dcdde9-e4fe-4896-ab05-c46dc4e60c61,Ahmet Cevat Ahundzade,,,,
81081f45-a36e-4248-9d33-43d4a3445f6d,Dede Efendi,,9-1-1778,,2
8fe27e3a-82b3-4002-a885-8c521a1bec14,Ahmet Kaya,"Kurdistan, Turkey",,,
cab02cb9-d0b2-4ba5-8ea3-e5c6ab46b005,Baki Kemancı,,,,
321fa912-6c30-4b7b-9ba9-9c98d7304d34,Adnan Mungan,,,,
b8fcc5e3-d0f4-4ca5-833f-189e1495fb0b,Erden Toptaş,,,,
1c766ccf-1d11-4866-9381-2357035f3df4,Rıfat Ayaydın,,1898,,4
63ffccb7-2311-48e5-9d26-4ef24e6c3594,Selami Şahin,,,,4
c8bb49ec-f1b2-4e50-93a8-cd1a5e085065,Zeki Mehmed Ağa,,1776,,2
cd7459af-b0c3-4623-bd27-03a0164add36,Metin Çetinöz,,,,
187c8edf-7924-47c9-9503-ba1ff3e17aa1,Yelda Özgen,,,,
5c3d8f5d-7d2c-4d79-95b5-c2a0116c1c2a,Tab'i Mustafa Efendi,,1705,,1
9f4a4127-616c-4126-97db-637a47a67218,Özer Çelik,,,,
8c386f72-3292-4345-a675-be187b414a5b,Gazi Giray Han,"Tatar, Turkey, Crimea",1554,,1
d25e1f99-45b1-4456-8ba4-e3a96c9372e6,Gıyas Akdeniz,,,,
131622cc-99e9-4878-b2fa-948a1dbabdd6,Mıskali,"Greece, Turkey",,,
d79edba2-8490-4b44-98bf-90090aa762b3,Tanburi Küçük Osman Bey,,1830,,3
a779761d-7b23-4bd9-bdfb-3508cf479a6b,Sedat Yıldırım,,,,
4c0dff3b-fe52-4011-9c98-f4909f2a90a8,Nihat Demirbaş,,,,
0c8e8b5a-a1c5-400d-bc6a-f0928fbf6a79,Fikret Karakaya,,,,
